Tilted Angle (θ),Decoded Time (hour),Delay (hour)
4.712686741,3.929022825,0.07097718
6.283050304,4.385431703,0.3854317
7.61550501,4.886484713,0.88648471
8.628561922,2.049642736,1.95035726
8.831071393,5.144979347,1.14497935
10.52329391,5.269176523,1.26917652
11.47129731,3.101655946,0.89834405
11.60431774,4.945973061,0.94597306
11.76355706,4.893190026,0.89319003
12.89218729,5.466618218,1.46661822
17.05443054,4.305852367,0.30585237
18.48821907,4.840997969,0.84099797
18.99994461,4.311863363,0.31186336
22.11070714,5.292924456,1.29292446
23.13350541,6.021369679,2.02136968
24.64334502,3.918671979,0.08132802
25.87605688,5.37637946,1.37637946
28.80354336,4.072247423,0.07224742
29.80816188,4.162008064,0.16200806
30.59000796,2.450615356,1.54938464
31.36924711,6.336196889,2.33619689
31.78625921,2.312744352,1.68725565
31.93208983,4.381734661,0.38173466
38.12350838,3.204452229,0.79554777
45.3060071,5.834886896,1.8348869
46.6412188,4.57669656,0.57669656
54.08855556,5.117079946,1.11707995
56.70657619,5.148818141,1.14881814
