In-plane iPAK4,Out-of-plane iPAK4,FC1
3.929022825,5.292924456,3.504723644
4.385431703,6.021369679,4.648792152
4.886484713,3.918671979,4.529225766
2.049642736,5.37637946,4.209155375
5.144979347,4.072247423,4.942609733
5.269176523,4.162008064,4.557868967
3.101655946,2.450615356,5.164722414
4.945973061,6.336196889,3.918920223
4.893190026,2.312744352,3.562149361
5.466618218,4.381734661,3.359213132
4.305852367,3.204452229,3.316228856
4.840997969,5.834886896,5.369783409
4.311863363,4.57669656,5.26975237
,5.117079946,3.798576701
,5.148818141,5.083756526
,,5.349706321
,,4.777619612
,,3.630258866
,,4.675847145
,,4.374496952
,,4.257252233
,,4.843764872
,,4.196982334
,,4.307182284
,,4.125706497
,,4.073218856
,,4.406713374
,,5.233679321
,,5.067548059
,,4.84659796
,,3.848466653
