Distance,High (GFP),High (TS1),High(TS2),Low (GFP),Low (TS1),Low (TS2)
-3,0.337864397,0.391915746,0.243750006,0.423673837,0.389197532,0.212322487
-2.9979995,0.337971807,0.392085014,0.24376451,0.42365119,0.389337758,0.212354883
-2.995999,0.338079217,0.392254281,0.243779015,0.423628543,0.389477984,0.21238728
-2.9939985,0.338186692,0.392423554,0.243793545,0.423605918,0.389618208,0.212419688
-2.991997999,0.338294239,0.392592872,0.24380798,0.423583231,0.389758483,0.212452159
-2.989997499,0.338401841,0.392762243,0.243822462,0.423559573,0.389899209,0.212485051
-2.987996999,0.338509731,0.392931666,0.243837074,0.423535924,0.390040437,0.212518089
-2.985996499,0.338617711,0.393101291,0.243851558,0.423512663,0.390181884,0.212551015
-2.983995999,0.338725623,0.393271272,0.243866389,0.423489887,0.390323449,0.212583996
-2.981995499,0.338832933,0.393441561,0.243881166,0.423467086,0.390465078,0.212616949
-2.979994999,0.338939899,0.393611873,0.243896013,0.423444034,0.390606894,0.212649949
-2.977994499,0.339047155,0.393782229,0.24391059,0.423421023,0.390748837,0.212683001
-2.975993998,0.339154924,0.393952618,0.243925419,0.423397609,0.39089105,0.212715992
-2.973993498,0.3392628,0.394123338,0.243940221,0.423373486,0.391033658,0.21274941
-2.971992998,0.339370614,0.394294238,0.243955011,0.423349591,0.391176557,0.212782909
-2.969992498,0.339478597,0.394465241,0.243969922,0.423325564,0.391319569,0.212816586
-2.967991998,0.339586598,0.394636248,0.24398484,0.423301807,0.391463034,0.212850515
-2.965991498,0.33969494,0.394807362,0.24399973,0.423278015,0.391606606,0.212884597
-2.963990998,0.339803694,0.394978666,0.244014467,0.423254037,0.391750249,0.212918519
-2.961990498,0.339911927,0.395150067,0.244029122,0.423229769,0.391894264,0.212952439
-2.959989997,0.340020259,0.395321371,0.244043888,0.423205361,0.39203859,0.212986282
-2.957989497,0.340128893,0.395492712,0.244058917,0.423180905,0.392183112,0.213020373
-2.955988997,0.340237721,0.395664187,0.244074137,0.423156524,0.392327718,0.213054514
-2.953988497,0.340346749,0.395835825,0.24408949,0.423132416,0.392472516,0.213088677
-2.951987997,0.340455674,0.396007964,0.244104695,0.423108199,0.392617393,0.213122774
-2.949987497,0.340564704,0.396180328,0.244120018,0.423083675,0.392762351,0.213156987
-2.947986997,0.340673402,0.396352827,0.244135375,0.423059253,0.392907902,0.213191244
-2.945986497,0.340781352,0.396525493,0.24415075,0.423034735,0.393053871,0.213225433
-2.943985996,0.340889308,0.396698256,0.244166094,0.423009365,0.393200027,0.213259841
-2.941985496,0.340998021,0.39687109,0.244181323,0.42298382,0.393346328,0.213294461
-2.939984996,0.341106686,0.3970439,0.244196586,0.42295835,0.393492714,0.213329104
-2.937984496,0.341215164,0.397216856,0.244211441,0.422932987,0.393639362,0.213363824
-2.935983996,0.341323662,0.397390084,0.244226007,0.422907781,0.393786344,0.213398641
-2.933983496,0.341432951,0.397563179,0.244241019,0.422883059,0.393933643,0.213433368
